Name,Start,End,Size
SetGsVParam,0x00116910,0x00116920,16
RFU080_CreateEventFlag,0x00116920,0x00116930,16
RFU081_DeleteEventFlag,0x00116930,0x00116940,16
RFU082_SetEventFlag,0x00116940,0x00116950,16
RFU083_iSetEventFlag,0x00116950,0x00116960,16
RFU084_ClearEventFlag,0x00116960,0x00116970,16
RFU085_iClearEventFlag,0x00116970,0x00116980,16
RFU086_WaitEvnetFlag,0x00116980,0x00116990,16
RFU087_PollEvnetFlag,0x00116990,0x001169A0,16
RFU088_iPollEvnetFlag,0x001169A0,0x001169B0,16
RFU089_ReferEventFlagStatus,0x001169B0,0x001169C0,16
RFU090_iReferEventFlagStatus,0x001169C0,0x001169D0,16
RFU091,0x001169D0,0x001169E0,16
EnableIntcHandler,0x001169E0,0x001169F0,16
iEnableIntcHandler,0x001169F0,0x00116A00,16
DisableIntcHandler,0x00116A00,0x00116A10,16
iDisableIntcHandler,0x00116A10,0x00116A20,16
EnableDmacHandler,0x00116A20,0x00116A30,16
iEnableDmacHandler,0x00116A30,0x00116A40,16
DisableDmacHandler,0x00116A40,0x00116A50,16
iDisableDmacHandler,0x00116A50,0x00116A60,16
KSeg0,0x00116A60,0x00116A70,16
EnableCache,0x00116A70,0x00116A80,16
DisableCache,0x00116A80,0x00116A90,16
GetCop0,0x00116A90,0x00116AA0,16
FlushCache,0x00116AA0,0x00116AB0,16
CpuConfig,0x00116AB0,0x00116AC0,16
iGetCop0,0x00116AC0,0x00116AD0,16
iFlushCache,0x00116AD0,0x00116AE0,16
iCpuConfig,0x00116AE0,0x00116AF0,16
sceSifStopDma,0x00116AF0,0x00116B00,16
SetCPUTimerHandler,0x00116B00,0x00116B10,16
SetCPUTimer,0x00116B10,0x00116B20,16
SetOsdConfigParam2,0x00116B20,0x00116B30,16
GetOsdConfigParam2,0x00116B30,0x00116B40,16
GsGetIMR,0x00116B40,0x00116B50,16
iGsGetIMR,0x00116B50,0x00116B60,16
GsPutIMR,0x00116B60,0x00116B70,16
iGsPutIMR,0x00116B70,0x00116B80,16
SetPgifHandler,0x00116B80,0x00116B90,16
SetVSyncFlag,0x00116B90,0x00116BA0,16
RFU116_SetSyscall,0x00116BA0,0x00116BB0,16
_print,0x00116BB0,0x00116BC0,16
sceSifDmaStat,0x00116BC0,0x00116BD0,16
isceSifDmaStat,0x00116BD0,0x00116BE0,16
sceSifSetDma,0x00116BE0,0x00116BF0,16
isceSifSetDma,0x00116BF0,0x00116C00,16
sceSifSetDChain,0x00116C00,0x00116C10,16
isceSifSetDChain,0x00116C10,0x00116C20,16
sceSifSetReg,0x00116C20,0x00116C30,16
sceSifGetReg,0x00116C30,0x00116C40,16
_ExecOSD,0x00116C40,0x00116C50,16
Deci2Call,0x00116C50,0x00116C60,16
PSMode,0x00116C60,0x00116C70,16
MachineType,0x00116C70,0x00116C80,16
GetMemorySize,0x00116C80,0x00116C90,16
_InitTLB,0x00116C90,0x00116CA0,16
FUN_00116ca0,0x00116CA0,0x00116CAC,12
FUN_00116cb0,0x00116CB0,0x00116D40,144
FUN_00116d40,0x00116D40,0x00116DE4,164
FUN_00116de8,0x00116DE8,0x00116E64,124
FUN_00116e68,0x00116E68,0x00116EDC,116
FUN_00116ee0,0x00116EE0,0x00116F08,40
FUN_00116f08,0x00116F08,0x00116F10,8
FUN_00116f10,0x00116F10,0x00116F18,8
FUN_00116f18,0x00116F18,0x00116F20,8
FUN_00116f20,0x00116F20,0x00116FCC,172
FUN_00116fd0,0x00116FD0,0x00116FD8,8
FUN_00116fd8,0x00116FD8,0x00116FEC,20
FUN_00116ff8,0x00116FF8,0x00117020,40
FUN_00117020,0x00117020,0x00117048,40
FUN_00117048,0x00117048,0x00117070,40
FUN_00117070,0x00117070,0x00117114,164
FUN_00117118,0x00117118,0x00117194,124
FUN_00117198,0x00117198,0x001171AC,20
FUN_001171b0,0x001171B0,0x00117254,164
FUN_00117258,0x00117258,0x001172D4,124
FUN_001172d8,0x001172D8,0x001172EC,20
FUN_001172f0,0x001172F0,0x00117300,16
FUN_00117300,0x00117300,0x00117368,104
FUN_00117368,0x00117368,0x001173D0,104
FUN_001173d0,0x001173D0,0x00117438,104
FUN_00117438,0x00117438,0x001174A0,104
FUN_001174a0,0x001174A0,0x001174C0,32
FUN_001174c0,0x001174C0,0x001174E0,32
FUN_001174e0,0x001174E0,0x00117500,32
FUN_00117500,0x00117500,0x00117520,32
FUN_00117520,0x00117520,0x001175F8,216
FUN_001175f8,0x001175F8,0x001176E4,236
FUN_001176e8,0x001176E8,0x0011777C,148
FUN_00117780,0x00117780,0x001177FC,124
FUN_00117800,0x00117800,0x00117898,152
FUN_00117898,0x00117898,0x00117960,200
FUN_00117960,0x00117960,0x00117AD8,376
FUN_00117ad8,0x00117AD8,0x00117B00,40
FUN_00117b00,0x00117B00,0x00117B44,68
FUN_00117b48,0x00117B48,0x00117B6C,36
FUN_00117b70,0x00117B70,0x00117BA0,48
FUN_00117ba0,0x00117BA0,0x00117BC4,36
FUN_00117bc8,0x00117BC8,0x00117BF8,48
FUN_00117bf8,0x00117BF8,0x00117C1C,36
FUN_00117c20,0x00117C20,0x00117C54,52
FUN_00117c58,0x00117C58,0x00117C8C,52
FUN_00117c90,0x00117C90,0x00117CC0,48
FUN_00117cc0,0x00117CC0,0x00117CE4,36
FUN_00117ce8,0x00117CE8,0x00117D0C,36
FUN_00117d10,0x00117D10,0x00117D34,36
