Name,Start,End,Size
FUN_BATTLE_text__00464f50,0x00464F50,0x00464F80,48
FUN_BATTLE_text__00464f80,0x00464F80,0x004650A4,292
FUN_BATTLE_text__004650b0,0x004650B0,0x00465160,176
FUN_BATTLE_text__00465160,0x00465160,0x00465204,164
FUN_BATTLE_text__00465210,0x00465210,0x0046526C,92
FUN_BATTLE_text__00465270,0x00465270,0x004652B8,72
FUN_BATTLE_text__004652c0,0x004652C0,0x00465338,120
FUN_BATTLE_text__00465340,0x00465340,0x0046570C,972
FUN_BATTLE_text__00465710,0x00465710,0x0046576C,92
FUN_BATTLE_text__00465770,0x00465770,0x00465A88,792
FUN_BATTLE_text__00465a90,0x00465A90,0x00465B7C,236
FUN_BATTLE_text__00465b80,0x00465B80,0x00465BF4,116
FUN_BATTLE_text__00465c00,0x00465C00,0x00465C38,56
FUN_BATTLE_text__00465c40,0x00465C40,0x00465C88,72
FUN_BATTLE_text__00465c90,0x00465C90,0x00465CE8,88
FUN_BATTLE_text__00465cf0,0x00465CF0,0x00465D2C,60
FUN_BATTLE_text__00465d30,0x00465D30,0x00465D6C,60
FUN_BATTLE_text__00465d70,0x00465D70,0x00465DD0,96
FUN_BATTLE_text__00465dd0,0x00465DD0,0x00465E74,164
FUN_BATTLE_text__00465e80,0x00465E80,0x00465EC4,68
FUN_BATTLE_text__00465ed0,0x00465ED0,0x00465F10,64
FUN_BATTLE_text__00465f10,0x00465F10,0x00465F1C,12
FUN_BATTLE_text__00465f20,0x00465F20,0x00465F64,68
FUN_BATTLE_text__00465f70,0x00465F70,0x00465F78,8
FUN_BATTLE_text__00465f80,0x00465F80,0x00465FEC,108
FUN_BATTLE_text__00465ff0,0x00465FF0,0x0046605C,108
FUN_BATTLE_text__00466060,0x00466060,0x0046693C,2268
FUN_BATTLE_text__00466940,0x00466940,0x0046701C,1756
FUN_BATTLE_text__00467020,0x00467020,0x00467028,8
FUN_BATTLE_text__00467030,0x00467030,0x00467038,8
FUN_BATTLE_text__00467040,0x00467040,0x0046705C,28
FUN_BATTLE_text__00467060,0x00467060,0x00467068,8
FUN_BATTLE_text__00467070,0x00467070,0x00467140,208
FUN_BATTLE_text__00467140,0x00467140,0x00467190,80
FUN_BATTLE_text__00467190,0x00467190,0x004671B0,32
FUN_BATTLE_text__004671b0,0x004671B0,0x004671D8,40
FUN_BATTLE_text__004671e0,0x004671E0,0x00467208,40
FUN_BATTLE_text__00467210,0x00467210,0x00467244,52
FUN_BATTLE_text__00467250,0x00467250,0x00467294,68
thunk_FUN_001ea0b0,0x004672A0,0x004672A8,8
FUN_BATTLE_text__004672b0,0x004672B0,0x004672B8,8
FUN_BATTLE_text__00467300,0x00467300,0x00467318,24
FUN_BATTLE_text__00467320,0x00467320,0x00467328,8
FUN_BATTLE_text__00467330,0x00467330,0x00467338,8
FUN_BATTLE_text__00467340,0x00467340,0x00467350,16
FUN_BATTLE_text__00467350,0x00467350,0x00467418,200
FUN_BATTLE_text__00467420,0x00467420,0x00467428,8
FUN_BATTLE_text__00467430,0x00467430,0x0046746C,60
FUN_BATTLE_text__00467470,0x00467470,0x004674F4,132
FUN_BATTLE_text__00467500,0x00467500,0x0046756C,108
FUN_BATTLE_text__00467570,0x00467570,0x0046759C,44
FUN_BATTLE_text__004675a0,0x004675A0,0x0046760C,108
FUN_BATTLE_text__00467610,0x00467610,0x0046778C,380
FUN_BATTLE_text__00467790,0x00467790,0x00467860,208
FUN_BATTLE_text__00467860,0x00467860,0x0046789C,60
FUN_BATTLE_text__004678a0,0x004678A0,0x00467998,248
FUN_BATTLE_text__004679a0,0x004679A0,0x00467C7C,732
FUN_BATTLE_text__00467c80,0x00467C80,0x00467D04,132
