Name,Start,End,Size
FUN_BATTLE_text__00468160,0x00468160,0x00468204,164
FUN_BATTLE_text__00468210,0x00468210,0x0046826C,92
FUN_BATTLE_text__00468270,0x00468270,0x004682B8,72
FUN_BATTLE_text__004682c0,0x004682C0,0x00468338,120
FUN_BATTLE_text__00468340,0x00468340,0x0046870C,972
FUN_BATTLE_text__00468710,0x00468710,0x0046876C,92
FUN_BATTLE_text__00468770,0x00468770,0x00468A88,792
FUN_BATTLE_text__00468a90,0x00468A90,0x00468B7C,236
FUN_BATTLE_text__00468b80,0x00468B80,0x00468BF4,116
FUN_BATTLE_text__00468c00,0x00468C00,0x00468C38,56
FUN_BATTLE_text__00468c40,0x00468C40,0x00468C88,72
FUN_BATTLE_text__00468c90,0x00468C90,0x00468CE8,88
FUN_BATTLE_text__00468cf0,0x00468CF0,0x00468D2C,60
FUN_BATTLE_text__00468d30,0x00468D30,0x00468D6C,60
FUN_BATTLE_text__00468d70,0x00468D70,0x00468DD0,96
FUN_BATTLE_text__00468dd0,0x00468DD0,0x00468E74,164
FUN_BATTLE_text__00468e80,0x00468E80,0x00468EC4,68
FUN_BATTLE_text__00468ed0,0x00468ED0,0x00468F10,64
FUN_BATTLE_text__00468f10,0x00468F10,0x00468F1C,12
FUN_BATTLE_text__00468f20,0x00468F20,0x00468F64,68
FUN_BATTLE_text__00468f70,0x00468F70,0x00468F78,8
FUN_BATTLE_text__00468f80,0x00468F80,0x00468FEC,108
FUN_BATTLE_text__00468ff0,0x00468FF0,0x0046905C,108
FUN_BATTLE_text__00469060,0x00469060,0x0046993C,2268
FUN_BATTLE_text__00469940,0x00469940,0x0046A01C,1756
FUN_BATTLE_text__0046a020,0x0046A020,0x0046A028,8
FUN_BATTLE_text__0046a030,0x0046A030,0x0046A038,8
FUN_BATTLE_text__0046a040,0x0046A040,0x0046A05C,28
FUN_BATTLE_text__0046a060,0x0046A060,0x0046A068,8
FUN_BATTLE_text__0046a070,0x0046A070,0x0046A140,208
FUN_BATTLE_text__0046a140,0x0046A140,0x0046A190,80
FUN_BATTLE_text__0046a190,0x0046A190,0x0046A1B0,32
FUN_BATTLE_text__0046a1b0,0x0046A1B0,0x0046A1D8,40
FUN_BATTLE_text__0046a1e0,0x0046A1E0,0x0046A208,40
FUN_BATTLE_text__0046a210,0x0046A210,0x0046A244,52
FUN_BATTLE_text__0046a250,0x0046A250,0x0046A294,68
thunk_FUN_001e9360,0x0046A2A0,0x0046A2A8,8
FUN_BATTLE_text__0046a2b0,0x0046A2B0,0x0046A2B8,8
FUN_BATTLE_text__0046a2c0,0x0046A2C0,0x0046A300,64
FUN_BATTLE_text__0046a300,0x0046A300,0x0046A318,24
FUN_BATTLE_text__0046a320,0x0046A320,0x0046A328,8
FUN_BATTLE_text__0046a330,0x0046A330,0x0046A338,8
FUN_BATTLE_text__0046a340,0x0046A340,0x0046A350,16
FUN_BATTLE_text__0046a350,0x0046A350,0x0046A358,8
FUN_BATTLE_text__0046a360,0x0046A360,0x0046A39C,60
FUN_BATTLE_text__0046a3a0,0x0046A3A0,0x0046A424,132
FUN_BATTLE_text__0046a430,0x0046A430,0x0046A49C,108
FUN_BATTLE_text__0046a4a0,0x0046A4A0,0x0046A4CC,44
FUN_BATTLE_text__0046a4d0,0x0046A4D0,0x0046A53C,108
FUN_BATTLE_text__0046a540,0x0046A540,0x0046A6BC,380
FUN_BATTLE_text__0046a6c0,0x0046A6C0,0x0046A790,208
FUN_BATTLE_text__0046a790,0x0046A790,0x0046A7CC,60
FUN_BATTLE_text__0046a7d0,0x0046A7D0,0x0046A8C8,248
FUN_BATTLE_text__0046a8d0,0x0046A8D0,0x0046ABAC,732
FUN_BATTLE_text__0046abb0,0x0046ABB0,0x0046AC34,132
FUN_BATTLE_text__0046ac40,0x0046AC40,0x0046ACFC,188
FUN_BATTLE_text__0046ad00,0x0046AD00,0x0046AD4C,76
FUN_BATTLE_text__0046ad50,0x0046AD50,0x0046B188,1080
FUN_BATTLE_text__0046b190,0x0046B190,0x0046B210,128
FUN_BATTLE_text__0046b210,0x0046B210,0x0046B340,304
FUN_BATTLE_text__0046b340,0x0046B340,0x0046B3C0,128
FUN_BATTLE_text__0046b3c0,0x0046B3C0,0x0046B47C,188
FUN_BATTLE_text__0046b480,0x0046B480,0x0046B53C,188
FUN_BATTLE_text__0046b540,0x0046B540,0x0046B658,280
FUN_BATTLE_text__0046b660,0x0046B660,0x0046B8F0,656
FUN_BATTLE_text__0046b8f0,0x0046B8F0,0x0046B99C,172
FUN_BATTLE_text__0046b9a0,0x0046B9A0,0x0046BAA0,256
FUN_BATTLE_text__0046baa0,0x0046BAA0,0x0046BAD0,48
FUN_BATTLE_text__0046bad0,0x0046BAD0,0x0046BB74,164
FUN_BATTLE_text__0046bb80,0x0046BB80,0x0046BBD4,84
FUN_BATTLE_text__0046bbe0,0x0046BBE0,0x0046BCF8,280
FUN_BATTLE_text__0046bd00,0x0046BD00,0x0046BF20,544
FUN_BATTLE_text__0046bf20,0x0046BF20,0x0046C018,248
FUN_BATTLE_text__0046c020,0x0046C020,0x0046C064,68
FUN_BATTLE_text__0046c070,0x0046C070,0x0046C0C8,88
FUN_BATTLE_text__0046c0d0,0x0046C0D0,0x0046C234,356
FUN_BATTLE_text__0046c240,0x0046C240,0x0046C284,68
FUN_BATTLE_text__0046c290,0x0046C290,0x0046C3A4,276
FUN_BATTLE_text__0046c3b0,0x0046C3B0,0x0046C418,104
FUN_BATTLE_text__0046c420,0x0046C420,0x0046C48C,108
FUN_BATTLE_text__0046c490,0x0046C490,0x0046C5B0,288
FUN_BATTLE_text__0046c5b0,0x0046C5B0,0x0046C910,864
FUN_BATTLE_text__0046c910,0x0046C910,0x0046CA74,356
FUN_BATTLE_text__0046ca80,0x0046CA80,0x0046CB00,128
FUN_BATTLE_text__0046cb00,0x0046CB00,0x0046CB80,128
FUN_BATTLE_text__0046cb80,0x0046CB80,0x0046CDBC,572
FUN_BATTLE_text__0046cdc0,0x0046CDC0,0x0046D56C,1964
FUN_BATTLE_text__0046d570,0x0046D570,0x0046D5A0,48
FUN_BATTLE_text__0046d5a0,0x0046D5A0,0x0046D794,500
FUN_BATTLE_text__0046d7a0,0x0046D7A0,0x0046D8B8,280
FUN_BATTLE_text__0046d8c0,0x0046D8C0,0x0046D9BC,252
FUN_BATTLE_text__0046d9c0,0x0046D9C0,0x0046DAD4,276
FUN_BATTLE_text__0046dae0,0x0046DAE0,0x0046DB18,56
FUN_BATTLE_text__0046db20,0x0046DB20,0x0046DBDC,188
FUN_BATTLE_text__0046dbe0,0x0046DBE0,0x0046DC7C,156
FUN_BATTLE_text__0046dc80,0x0046DC80,0x0046DD1C,156
FUN_BATTLE_text__0046dd20,0x0046DD20,0x0046DD80,96
FUN_BATTLE_text__0046dd80,0x0046DD80,0x0046DE50,208
FUN_BATTLE_text__0046de50,0x0046DE50,0x0046DED8,136
FUN_BATTLE_text__0046dee0,0x0046DEE0,0x0046DFCC,236
FUN_BATTLE_text__0046dfd0,0x0046DFD0,0x0046E0BC,236
FUN_BATTLE_text__0046e0c0,0x0046E0C0,0x0046E164,164
FUN_BATTLE_text__0046e170,0x0046E170,0x0046E20C,156
FUN_BATTLE_text__0046e210,0x0046E210,0x0046E35C,332
FUN_BATTLE_text__0046e360,0x0046E360,0x0046E464,260
FUN_BATTLE_text__0046e470,0x0046E470,0x0046E4D4,100
FUN_BATTLE_text__0046e4e0,0x0046E4E0,0x0046E514,52
FUN_BATTLE_text__0046e520,0x0046E520,0x0046E554,52
FUN_BATTLE_text__0046e560,0x0046E560,0x0046E594,52
FUN_BATTLE_text__0046e5a0,0x0046E5A0,0x0046E5DC,60
FUN_BATTLE_text__0046e5e0,0x0046E5E0,0x0046E66C,140
FUN_BATTLE_text__0046e670,0x0046E670,0x0046E6FC,140
FUN_BATTLE_text__0046e700,0x0046E700,0x0046E73C,60
FUN_BATTLE_text__0046e740,0x0046E740,0x0046E760,32
FUN_BATTLE_text__0046e760,0x0046E760,0x0046E7B4,84
FUN_BATTLE_text__0046e7c0,0x0046E7C0,0x0046E914,340
FUN_BATTLE_text__0046e920,0x0046E920,0x0046E92C,12
FUN_BATTLE_text__0046e930,0x0046E930,0x0046E9D4,164
FUN_BATTLE_text__0046e9e0,0x0046E9E0,0x0046EAC4,228
FUN_BATTLE_text__0046ead0,0x0046EAD0,0x0046EBF0,288
FUN_BATTLE_text__0046ebf0,0x0046EBF0,0x0046EC10,32
FUN_BATTLE_text__0046ec10,0x0046EC10,0x0046EC18,8
FUN_BATTLE_text__0046ec20,0x0046EC20,0x0046EC28,8
FUN_BATTLE_text__0046ec30,0x0046EC30,0x0046EC38,8
FUN_BATTLE_text__0046ec40,0x0046EC40,0x0046EC48,8
FUN_BATTLE_text__0046ec50,0x0046EC50,0x0046ED00,176
FUN_BATTLE_text__0046ed00,0x0046ED00,0x0046EE70,368
FUN_BATTLE_text__0046ee70,0x0046EE70,0x0046F5E8,1912
FUN_BATTLE_text__0046f5f0,0x0046F5F0,0x0046FD30,1856
FUN_BATTLE_text__0046fd30,0x0046FD30,0x0046FEFC,460
FUN_BATTLE_text__0046ff00,0x0046FF00,0x0046FF34,52
FUN_BATTLE_text__0046ff40,0x0046FF40,0x0046FF84,68
FUN_BATTLE_text__0046ff90,0x0046FF90,0x0046FFB8,40
FUN_BATTLE_text__0046ffc0,0x0046FFC0,0x004700C0,256
FUN_BATTLE_text__004700c0,0x004700C0,0x0047013C,124
FUN_BATTLE_text__00470140,0x00470140,0x00470148,8
FUN_BATTLE_text__00470150,0x00470150,0x00470210,192
FUN_BATTLE_text__00470210,0x00470210,0x0047049C,652
FUN_BATTLE_text__004704a0,0x004704A0,0x0047055C,188
FUN_BATTLE_text__00470560,0x00470560,0x00470814,692
FUN_BATTLE_text__00470820,0x00470820,0x004708F0,208
FUN_BATTLE_text__004708f0,0x004708F0,0x00470964,116
FUN_BATTLE_text__00470970,0x00470970,0x00470AF8,392
FUN_BATTLE_text__00470b00,0x00470B00,0x00470B28,40
FUN_BATTLE_text__00470b30,0x00470B30,0x00470B9C,108
FUN_BATTLE_text__00470ba0,0x00470BA0,0x00470C08,104
FUN_BATTLE_text__00470c10,0x00470C10,0x00470C74,100
FUN_BATTLE_text__00470c80,0x00470C80,0x00470CD0,80
FUN_BATTLE_text__00470cd0,0x00470CD0,0x00470D14,68
FUN_BATTLE_text__00470d20,0x00470D20,0x00470E4C,300
FUN_BATTLE_text__00470e50,0x00470E50,0x00470EAC,92
