Name,Start,End,Size
FUN_SHOP_text__004673c0,0x004673C0,0x00467414,84
FUN_SHOP_text__00467420,0x00467420,0x00467530,272
FUN_SHOP_text__00467530,0x00467530,0x00467690,352
FUN_SHOP_text__00467690,0x00467690,0x00467760,208
FUN_SHOP_text__00467760,0x00467760,0x00467868,264
FUN_SHOP_text__00467870,0x00467870,0x00467A40,464
FUN_SHOP_text__00467a40,0x00467A40,0x00467BF4,436
FUN_SHOP_text__00467c00,0x00467C00,0x00467CB0,176
FUN_SHOP_text__00467cb0,0x00467CB0,0x00467D8C,220
FUN_SHOP_text__00467d90,0x00467D90,0x00467E70,224
FUN_SHOP_text__00467e70,0x00467E70,0x00467F8C,284
FUN_SHOP_text__00467f90,0x00467F90,0x00467F98,8
FUN_SHOP_text__00467fa0,0x00467FA0,0x00467FD4,52
FUN_SHOP_text__00467fe0,0x00467FE0,0x00468004,36
FUN_SHOP_text__00468010,0x00468010,0x00468040,48
FUN_SHOP_text__00468040,0x00468040,0x00468074,52
FUN_SHOP_text__00468080,0x00468080,0x0046818C,268
FUN_SHOP_text__00468190,0x00468190,0x004681EC,92
FUN_SHOP_text__004681f0,0x004681F0,0x00468258,104
FUN_SHOP_text__00468260,0x00468260,0x004682DC,124
FUN_SHOP_text__004682e0,0x004682E0,0x00468328,72
FUN_SHOP_text__00468330,0x00468330,0x00468430,256
FUN_SHOP_text__00468430,0x00468430,0x00468518,232
FUN_SHOP_text__00468520,0x00468520,0x00468630,272
FUN_SHOP_text__00468630,0x00468630,0x004686C8,152
FUN_SHOP_text__004686d0,0x004686D0,0x00468830,352
FUN_SHOP_text__00468830,0x00468830,0x00468840,16
FUN_SHOP_text__00468840,0x00468840,0x004689A4,356
FUN_SHOP_text__004689b0,0x004689B0,0x00468A08,88
FUN_SHOP_text__00468a10,0x00468A10,0x00468AC4,180
FUN_SHOP_text__00468ad0,0x00468AD0,0x00468AE0,16
FUN_SHOP_text__00468ae0,0x00468AE0,0x00468B6C,140
FUN_SHOP_text__00468b70,0x00468B70,0x00468D20,432
FUN_SHOP_text__00468d20,0x00468D20,0x00468D34,20
FUN_SHOP_text__00468d40,0x00468D40,0x00468D7C,60
FUN_SHOP_text__00468d80,0x00468D80,0x00468DB4,52
FUN_SHOP_text__00468dc0,0x00468DC0,0x00468E14,84
thunk_FUN_001e9360,0x00468E20,0x00468E28,8
FUN_SHOP_text__00468e30,0x00468E30,0x00468E38,8
FUN_SHOP_text__00468e40,0x00468E40,0x00468E48,8
FUN_SHOP_text__00468e50,0x00468E50,0x00468E58,8
thunk_FUN_00280a10,0x00468E60,0x00468E68,8
FUN_SHOP_text__00468e70,0x00468E70,0x00468E78,8
thunk_FUN_00280960,0x00468E80,0x00468E88,8
FUN_SHOP_text__00468e90,0x00468E90,0x00468E98,8
FUN_SHOP_text__00468ea0,0x00468EA0,0x00468EA8,8
thunk_FUN_00280900,0x00468EB0,0x00468EB8,8
thunk_FUN_00280890,0x00468EC0,0x00468EC8,8
thunk_FUN_00280820,0x00468ED0,0x00468ED8,8
FUN_SHOP_text__00468ee0,0x00468EE0,0x00468EE8,8
thunk_FUN_002805a0,0x00468EF0,0x00468EF8,8
thunk_FUN_00280520,0x00468F00,0x00468F08,8
thunk_FUN_002804d0,0x00468F10,0x00468F18,8
thunk_FUN_00280480,0x00468F20,0x00468F28,8
FUN_SHOP_text__00468f30,0x00468F30,0x00468FF4,196
FUN_SHOP_text__00469000,0x00469000,0x00469290,656
FUN_SHOP_text__00469290,0x00469290,0x00469670,992
FUN_SHOP_text__00469670,0x00469670,0x00469694,36
FUN_SHOP_text__004696a0,0x004696A0,0x004696B4,20
FUN_SHOP_text__004696c0,0x004696C0,0x00469758,152
thunk_FUN_002e6a90,0x00469760,0x00469768,8
thunk_FUN_002ea590,0x00469770,0x00469778,8
FUN_SHOP_text__00469780,0x00469780,0x00469820,160
FUN_SHOP_text__00469820,0x00469820,0x00469870,80
FUN_SHOP_text__00469870,0x00469870,0x00469914,164
FUN_SHOP_text__00469920,0x00469920,0x00469970,80
FUN_SHOP_text__00469970,0x00469970,0x00469A70,256
FUN_SHOP_text__00469a70,0x00469A70,0x00469A7C,12
FUN_SHOP_text__00469a80,0x00469A80,0x00469EA8,1064
FUN_SHOP_text__00469eb0,0x00469EB0,0x00469F78,200
FUN_SHOP_text__00469f80,0x00469F80,0x00469FE8,104
FUN_SHOP_text__00469ff0,0x00469FF0,0x0046A2AC,700
FUN_SHOP_text__0046a2b0,0x0046A2B0,0x0046A334,132
FUN_SHOP_text__0046a340,0x0046A340,0x0046A37C,60
FUN_SHOP_text__0046a380,0x0046A380,0x0046A4DC,348
FUN_SHOP_text__0046a4e0,0x0046A4E0,0x0046A564,132
FUN_SHOP_text__0046a570,0x0046A570,0x0046A5FC,140
FUN_SHOP_text__0046a600,0x0046A600,0x0046A630,48
FUN_SHOP_text__0046a630,0x0046A630,0x0046A680,80
FUN_SHOP_text__0046a680,0x0046A680,0x0046A700,128
FUN_SHOP_text__0046a700,0x0046A700,0x0046A7B8,184
FUN_SHOP_text__0046a7c0,0x0046A7C0,0x0046A8DC,284
FUN_SHOP_text__0046a8e0,0x0046A8E0,0x0046A92C,76
FUN_SHOP_text__0046a930,0x0046A930,0x0046AA60,304
FUN_SHOP_text__0046aa60,0x0046AA60,0x0046AB44,228
FUN_SHOP_text__0046ab50,0x0046AB50,0x0046AC30,224
FUN_SHOP_text__0046ac30,0x0046AC30,0x0046AD08,216
FUN_SHOP_text__0046ad10,0x0046AD10,0x0046AE04,244
FUN_SHOP_text__0046ae10,0x0046AE10,0x0046AF18,264
FUN_SHOP_text__0046af20,0x0046AF20,0x0046AF88,104
FUN_SHOP_text__0046af90,0x0046AF90,0x0046AFFC,108
FUN_SHOP_text__0046b000,0x0046B000,0x0046B06C,108
FUN_SHOP_text__0046b070,0x0046B070,0x0046B0D4,100
FUN_SHOP_text__0046b0e0,0x0046B0E0,0x0046B13C,92
FUN_SHOP_text__0046b140,0x0046B140,0x0046B23C,252
FUN_SHOP_text__0046b240,0x0046B240,0x0046B310,208
FUN_SHOP_text__0046b310,0x0046B310,0x0046B338,40
FUN_SHOP_text__0046b340,0x0046B340,0x0046B368,40
FUN_SHOP_text__0046b370,0x0046B370,0x0046B3AC,60
